Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	758	674
OG0000001	318	240
OG0000002	422	376
OG0000003	340	248
OG0000004	467	406
OG0000005	235	122
OG0000006	318	248
OG0000007	255	204
OG0000008	352	291
OG0000009	185	121
OG0000010	197	123
OG0000011	269	228
OG0000012	176	126
OG0000013	216	177
OG0000014	140	87
OG0000015	224	200
OG0000016	265	242
OG0000017	113	72
OG0000018	148	112
OG0000019	122	89
OG0000020	233	198
OG0000021	136	109
OG0000022	230	198
OG0000023	123	83
OG0000024	136	88
OG0000025	110	73
OG0000026	144	101
OG0000027	146	106
OG0000028	184	157
OG0000029	132	101
OG0000030	179	131
OG0000031	185	155
OG0000032	121	86
OG0000033	101	77
OG0000034	113	82
OG0000035	173	114
OG0000036	118	67
OG0000037	98	70
OG0000038	136	106
OG0000039	238	217
OG0000040	81	56
OG0000041	158	114
OG0000042	103	87
OG0000043	83	59
OG0000044	84	65
OG0000045	78	41
OG0000046	101	80
OG0000047	77	55
OG0000048	83	53
OG0000049	153	123
OG0000050	115	95
OG0000051	79	58
OG0000052	115	92
OG0000053	119	97
OG0000054	69	43
OG0000055	114	76
OG0000056	120	105
OG0000057	99	73
OG0000058	144	121
OG0000059	96	64
OG0000060	102	81
OG0000061	75	53
OG0000062	43	26
OG0000063	100	79
OG0000064	62	46
OG0000065	108	66
OG0000066	91	78
OG0000067	100	81
OG0000068	115	89
OG0000069	48	37
OG0000070	147	103
OG0000071	119	84
OG0000072	134	110
OG0000073	117	101
OG0000074	130	110
OG0000075	93	69
OG0000076	85	56
OG0000077	106	83
OG0000078	129	108
OG0000079	51	34
OG0000080	73	56
OG0000081	94	72
OG0000082	72	53
OG0000083	93	75
OG0000084	58	43
OG0000085	49	33
OG0000086	50	39
OG0000087	124	115
OG0000088	96	65
OG0000089	106	95
OG0000090	69	49
OG0000091	91	68
OG0000092	89	63
OG0000093	63	38
OG0000094	129	113
OG0000095	77	49
OG0000096	77	46
OG0000097	82	53
OG0000098	94	80
OG0000099	74	50
OG0000100	85	65
OG0000101	67	56
OG0000102	63	39
OG0000103	80	71
OG0000104	54	33
OG0000105	47	30
OG0000106	71	52
OG0000107	58	45
