Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	649	649
OG0000001	331	331
OG0000002	232	232
OG0000003	223	223
OG0000004	100	84
OG0000005	176	176
OG0000006	176	176
OG0000007	160	160
OG0000008	106	91
OG0000009	84	83
OG0000010	135	135
OG0000011	100	94
OG0000012	51	40
OG0000013	121	121
OG0000014	118	118
OG0000015	85	84
OG0000016	109	109
OG0000017	104	104
OG0000018	104	104
OG0000019	101	99
OG0000020	97	97
OG0000021	93	93
OG0000022	65	60
OG0000023	42	41
OG0000024	51	50
OG0000025	56	47
OG0000026	52	50
OG0000027	34	26
OG0000028	76	74
OG0000029	83	83
OG0000030	57	55
OG0000031	80	80
OG0000032	65	60
OG0000033	74	74
OG0000034	69	69
OG0000035	67	67
OG0000036	54	49
OG0000037	65	65
OG0000038	49	43
OG0000039	60	60
OG0000040	29	11
OG0000041	41	23
OG0000042	29	23
OG0000043	33	32
OG0000044	23	21
OG0000045	23	19
OG0000046	28	23
OG0000047	16	12
OG0000048	39	37
OG0000049	53	53
OG0000050	22	21
OG0000051	54	54
OG0000052	25	22
OG0000053	21	19
OG0000054	54	54
OG0000055	53	53
OG0000056	49	49
OG0000057	52	52
OG0000058	17	16
OG0000059	52	52
OG0000060	21	21
OG0000061	51	51
OG0000062	51	51
OG0000063	51	51
OG0000064	51	51
OG0000065	50	50
OG0000066	50	50
OG0000067	22	15
OG0000068	50	50
OG0000069	45	45
OG0000070	16	14
OG0000071	48	48
OG0000072	48	48
OG0000073	35	23
OG0000074	34	31
OG0000075	31	31
OG0000076	47	47
OG0000077	46	46
OG0000078	45	45
OG0000079	34	34
OG0000080	46	46
OG0000081	25	18
OG0000082	45	45
OG0000083	19	15
OG0000084	44	44
OG0000085	44	44
OG0000086	44	44
OG0000087	20	15
OG0000088	43	43
OG0000089	43	43
OG0000090	27	23
OG0000091	43	43
OG0000092	17	17
OG0000093	42	42
OG0000094	15	13
OG0000095	17	15
OG0000096	27	24
OG0000097	28	28
OG0000098	40	40
OG0000099	39	39
OG0000100	38	38
OG0000101	27	27
OG0000102	21	17
OG0000103	18	15
OG0000104	37	37
OG0000105	23	23
OG0000106	37	37
OG0000107	14	8
OG0000108	37	37
OG0000109	37	37
OG0000110	37	37
OG0000111	19	19
OG0000112	34	34
OG0000113	21	10
OG0000114	14	11
OG0000115	15	14
OG0000116	34	34
OG0000117	13	10
OG0000118	13	6
OG0000119	34	34
OG0000120	19	16
OG0000121	34	34
OG0000122	34	34
OG0000123	33	33
OG0000124	26	26
OG0000125	15	10
OG0000126	15	11
OG0000127	33	33
OG0000128	32	32
OG0000129	32	32
OG0000130	27	25
OG0000131	13	11
OG0000132	10	9
OG0000133	31	31
OG0000134	32	32
OG0000135	31	31
OG0000136	7	7
OG0000137	20	20
OG0000138	28	28
OG0000139	16	15
OG0000140	31	31
OG0000141	31	31
OG0000142	10	9
OG0000143	17	14
OG0000144	27	27
OG0000145	14	10
OG0000146	8	8
OG0000147	31	31
OG0000148	30	30
OG0000149	11	8
OG0000150	16	14
OG0000151	30	30
OG0000152	15	8
OG0000153	30	30
OG0000154	29	29
OG0000155	29	29
OG0000156	12	12
OG0000157	23	23
OG0000158	12	7
OG0000159	15	11
OG0000160	11	9
OG0000161	12	7
OG0000162	27	27
OG0000163	9	7
OG0000164	29	29
OG0000165	28	28
OG0000166	13	6
OG0000167	14	9
OG0000168	28	28
OG0000169	8	8
OG0000170	28	28
OG0000171	28	28
OG0000172	27	27
OG0000173	27	27
OG0000174	15	11
OG0000175	27	27
OG0000176	12	11
OG0000177	10	5
OG0000178	10	7
OG0000179	7	6
OG0000180	24	24
OG0000181	26	26
OG0000182	26	26
OG0000183	7	7
OG0000184	8	8
OG0000185	11	5
OG0000186	26	26
OG0000187	7	7
OG0000188	26	26
OG0000189	25	25
OG0000190	14	5
OG0000191	15	15
OG0000192	25	25
OG0000193	15	14
OG0000194	6	6
OG0000195	8	4
OG0000196	10	9
OG0000197	8	6
OG0000198	13	10
OG0000199	11	6
OG0000200	7	7
OG0000201	9	7
OG0000202	25	25
OG0000203	25	25
OG0000204	25	25
OG0000205	20	14
OG0000206	13	13
OG0000207	7	7
OG0000208	23	23
OG0000209	8	5
OG0000210	9	6
OG0000211	9	7
OG0000212	24	24
OG0000213	11	11
OG0000214	24	24
OG0000215	23	23
OG0000216	23	23
OG0000217	23	23
OG0000218	17	13
OG0000219	9	9
OG0000220	23	23
OG0000221	8	6
OG0000222	7	7
OG0000223	11	8
OG0000224	11	10
OG0000225	23	23
OG0000226	12	7
OG0000227	18	16
OG0000228	6	6
OG0000229	9	8
OG0000230	22	22
OG0000231	12	11
OG0000232	20	16
OG0000233	6	5
OG0000234	6	6
OG0000235	6	5
OG0000236	20	20
OG0000237	22	22
OG0000238	22	22
OG0000239	6	6
OG0000240	8	3
OG0000241	9	9
OG0000242	21	21
OG0000243	17	17
OG0000244	13	10
OG0000245	8	5
OG0000246	9	9
OG0000247	9	8
OG0000248	14	10
OG0000249	22	22
OG0000250	7	7
OG0000251	21	21
OG0000252	21	21
OG0000253	21	21
OG0000254	21	21
OG0000255	16	14
OG0000256	10	7
OG0000257	21	21
OG0000258	9	5
OG0000259	4	4
OG0000260	6	4
OG0000261	9	9
OG0000262	8	7
OG0000263	11	8
OG0000264	13	11
OG0000265	12	11
OG0000266	9	9
OG0000267	7	7
OG0000268	6	3
OG0000269	21	21
OG0000270	6	6
OG0000271	5	5
OG0000272	21	21
OG0000273	21	21
OG0000274	21	21
OG0000275	20	20
OG0000276	20	20
OG0000277	5	5
OG0000278	20	20
OG0000279	5	4
OG0000280	9	7
OG0000281	8	6
OG0000282	9	6
OG0000283	20	20
OG0000284	20	20
OG0000285	9	6
OG0000286	5	5
OG0000287	6	5
OG0000288	7	5
OG0000289	5	3
OG0000290	19	19
OG0000291	9	9
OG0000292	7	5
OG0000293	10	8
OG0000294	16	13
OG0000295	5	4
OG0000296	7	7
OG0000297	8	5
OG0000298	19	19
OG0000299	16	14
OG0000300	7	6
OG0000301	19	19
OG0000302	20	20
OG0000303	20	20
OG0000304	18	18
OG0000305	19	19
OG0000306	19	19
OG0000307	20	20
OG0000308	20	20
OG0000309	6	6
OG0000310	5	4
OG0000311	7	7
OG0000312	20	20
OG0000313	20	20
OG0000314	4	4
OG0000315	10	7
OG0000316	19	19
OG0000317	5	2
OG0000318	5	5
OG0000319	19	19
OG0000320	19	19
OG0000321	8	6
OG0000322	5	4
OG0000323	19	19
OG0000324	19	19
OG0000325	7	7
OG0000326	9	6
OG0000327	7	4
OG0000328	8	4
OG0000329	10	8
OG0000330	5	5
OG0000331	7	7
OG0000332	9	8
OG0000333	8	8
OG0000334	16	16
OG0000335	18	18
OG0000336	7	7
OG0000337	18	18
OG0000338	19	19
OG0000339	7	6
OG0000340	6	6
OG0000341	19	19
OG0000342	19	19
OG0000343	19	19
OG0000344	19	19
OG0000345	5	5
OG0000346	7	7
OG0000347	19	19
OG0000348	6	4
OG0000349	7	7
OG0000350	18	18
OG0000351	17	17
OG0000352	18	18
OG0000353	6	6
OG0000354	9	6
OG0000355	8	8
OG0000356	6	4
OG0000357	18	18
OG0000358	5	5
OG0000359	7	5
OG0000360	8	8
OG0000361	7	6
OG0000362	15	15
OG0000363	4	4
OG0000364	5	4
OG0000365	9	7
OG0000366	6	6
OG0000367	4	4
OG0000368	6	3
OG0000369	4	3
OG0000370	6	5
OG0000371	8	7
OG0000372	4	3
OG0000373	16	14
OG0000374	7	7
OG0000375	6	5
OG0000376	7	7
OG0000377	6	6
OG0000378	10	10
OG0000379	10	6
OG0000380	6	6
OG0000381	5	5
OG0000382	5	5
OG0000383	18	18
OG0000384	9	9
OG0000385	18	18
OG0000386	18	18
OG0000387	7	7
OG0000388	7	5
OG0000389	5	3
OG0000390	6	6
OG0000391	18	18
OG0000392	4	4
OG0000393	4	4
OG0000394	4	4
OG0000395	4	4
OG0000396	17	17
OG0000397	12	10
OG0000398	17	17
OG0000399	17	17
OG0000400	6	6
OG0000401	17	17
OG0000402	14	14
OG0000403	8	8
OG0000404	17	17
OG0000405	17	17
OG0000406	10	10
OG0000407	9	9
OG0000408	17	17
OG0000409	4	3
OG0000410	5	4
OG0000411	9	6
OG0000412	6	6
OG0000413	7	4
OG0000414	17	17
OG0000415	6	4
OG0000416	4	4
OG0000417	6	5
OG0000418	16	16
OG0000419	4	4
OG0000420	16	16
OG0000421	8	7
OG0000422	4	4
OG0000423	8	6
OG0000424	5	5
OG0000425	17	17
OG0000426	17	17
OG0000427	6	2
OG0000428	16	16
OG0000429	6	4
OG0000430	17	17
OG0000431	17	17
OG0000432	17	17
OG0000433	5	5
OG0000434	17	17
OG0000435	6	4
OG0000436	4	4
OG0000437	4	4
OG0000438	17	17
OG0000439	6	3
OG0000440	13	13
OG0000441	6	6
OG0000442	17	17
OG0000443	8	6
OG0000444	8	8
OG0000445	15	15
OG0000446	16	16
OG0000447	7	3
OG0000448	6	4
OG0000449	16	16
OG0000450	9	8
OG0000451	6	3
OG0000452	5	5
OG0000453	16	16
OG0000454	6	5
OG0000455	16	16
OG0000456	5	3
OG0000457	4	4
OG0000458	6	5
OG0000459	8	8
OG0000460	8	8
OG0000461	5	4
OG0000462	6	4
OG0000463	6	5
OG0000464	15	15
OG0000465	5	5
OG0000466	7	7
OG0000467	6	4
OG0000468	4	3
OG0000469	8	5
OG0000470	4	4
OG0000471	6	4
OG0000472	5	5
OG0000473	5	5
OG0000474	16	16
OG0000475	3	3
OG0000476	6	2
OG0000477	6	6
OG0000478	7	3
OG0000479	4	3
OG0000480	3	3
OG0000481	7	4
OG0000482	6	6
OG0000483	4	3
OG0000484	6	6
OG0000485	4	4
OG0000486	16	16
OG0000487	5	5
OG0000488	12	12
OG0000489	16	16
OG0000490	16	16
OG0000491	15	15
OG0000492	16	16
OG0000493	16	16
OG0000494	11	11
OG0000495	4	4
OG0000496	5	4
OG0000497	5	4
OG0000498	6	6
OG0000499	4	4
OG0000500	7	5
OG0000501	6	5
OG0000502	16	16
OG0000503	5	2
OG0000504	15	15
OG0000505	5	5
OG0000506	15	15
OG0000507	5	3
OG0000508	8	7
OG0000509	5	5
OG0000510	15	15
OG0000511	15	15
OG0000512	15	15
OG0000513	6	4
OG0000514	4	4
OG0000515	8	8
OG0000516	8	7
OG0000517	6	2
OG0000518	8	7
OG0000519	15	15
OG0000520	5	1
OG0000521	5	4
OG0000522	14	14
OG0000523	15	15
OG0000524	5	3
OG0000525	2	2
OG0000526	15	15
OG0000527	3	2
OG0000528	5	4
OG0000529	12	12
OG0000530	6	6
OG0000531	10	8
OG0000532	4	4
OG0000533	5	3
OG0000534	7	7
OG0000535	7	7
OG0000536	5	5
OG0000537	3	3
OG0000538	4	4
OG0000539	5	2
OG0000540	3	3
OG0000541	6	5
OG0000542	5	5
OG0000543	8	7
OG0000544	6	6
OG0000545	4	4
OG0000546	3	3
OG0000547	6	5
OG0000548	6	4
OG0000549	3	3
OG0000550	4	4
OG0000551	4	4
OG0000552	6	5
OG0000553	4	4
OG0000554	3	3
OG0000555	3	3
OG0000556	4	1
OG0000557	4	4
OG0000558	3	3
OG0000559	15	15
OG0000560	5	5
OG0000561	8	8
OG0000562	3	3
OG0000563	5	3
OG0000564	6	6
OG0000565	15	15
OG0000566	3	3
OG0000567	15	15
OG0000568	15	15
OG0000569	15	15
OG0000570	15	15
OG0000571	3	3
OG0000572	6	2
OG0000573	3	3
OG0000574	5	3
OG0000575	3	3
OG0000576	3	3
OG0000577	3	3
OG0000578	3	3
OG0000579	15	15
OG0000580	6	5
OG0000581	6	6
OG0000582	15	15
OG0000583	15	15
OG0000584	4	4
OG0000585	6	6
OG0000586	9	9
OG0000587	4	4
OG0000588	6	2
OG0000589	14	14
OG0000590	12	12
OG0000591	5	4
OG0000592	14	14
OG0000593	13	13
OG0000594	6	4
OG0000595	14	14
OG0000596	14	14
OG0000597	3	2
OG0000598	4	4
OG0000599	4	1
OG0000600	3	3
OG0000601	14	14
OG0000602	10	7
OG0000603	3	3
OG0000604	5	1
OG0000605	4	4
OG0000606	4	2
OG0000607	5	1
OG0000608	3	2
OG0000609	12	12
OG0000610	3	2
OG0000611	5	5
OG0000612	4	4
OG0000613	5	2
OG0000614	3	3
OG0000615	4	4
OG0000616	2	2
OG0000617	4	4
OG0000618	7	5
OG0000619	5	4
OG0000620	6	3
OG0000621	13	13
OG0000622	7	3
OG0000623	6	6
OG0000624	5	4
OG0000625	6	5
OG0000626	4	4
OG0000627	2	2
OG0000628	2	2
OG0000629	4	4
OG0000630	3	2
OG0000631	3	3
OG0000632	7	3
OG0000633	3	3
OG0000634	4	3
OG0000635	14	14
OG0000636	14	14
OG0000637	5	4
OG0000638	4	4
OG0000639	14	14
OG0000640	13	13
OG0000641	13	13
OG0000642	6	2
OG0000643	5	4
OG0000644	14	14
OG0000645	14	14
OG0000646	14	14
OG0000647	14	14
OG0000648	14	14
OG0000649	14	14
OG0000650	14	14
OG0000651	4	2
OG0000652	5	3
OG0000653	6	4
OG0000654	3	3
OG0000655	3	3
OG0000656	3	3
OG0000657	6	3
OG0000658	3	3
OG0000659	3	3
OG0000660	4	4
OG0000661	3	3
OG0000662	11	11
OG0000663	3	3
OG0000664	3	3
OG0000665	3	3
OG0000666	3	3
OG0000667	5	3
OG0000668	14	14
OG0000669	14	14
OG0000670	4	4
OG0000671	3	3
OG0000672	5	1
OG0000673	5	2
OG0000674	13	13
OG0000675	5	3
OG0000676	2	2
OG0000677	13	13
OG0000678	4	4
OG0000679	13	13
OG0000680	5	5
OG0000681	3	1
OG0000682	13	13
OG0000683	13	13
OG0000684	5	5
OG0000685	13	13
OG0000686	6	5
OG0000687	13	13
OG0000688	13	13
OG0000689	4	4
OG0000690	6	4
OG0000691	8	5
OG0000692	8	8
OG0000693	2	2
OG0000694	2	2
OG0000695	4	2
OG0000696	3	2
OG0000697	4	4
OG0000698	2	2
OG0000699	13	13
OG0000700	4	3
OG0000701	5	5
OG0000702	4	4
OG0000703	4	2
OG0000704	13	13
OG0000705	5	5
OG0000706	4	4
OG0000707	2	2
OG0000708	3	1
OG0000709	6	6
OG0000710	3	3
OG0000711	4	4
OG0000712	4	4
