	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
C_quadrinucleata	0.0	7835.0	6577.0	5575.0	6796.0	6443.0	5646.0	6755.0	6512.0	5279.0	6340.0	6077.0	7023.0	6676.0	5356.0	5961.0	6479.0	6846.0	7445.0
D_sp	10026.0	0.0	9292.0	7892.0	9266.0	9099.0	7911.0	9534.0	10600.0	8564.0	10236.0	10052.0	11089.0	10552.0	8676.0	8544.0	10479.0	11045.0	11888.0
E_cf_woodruffi	6745.0	7324.0	0.0	7366.0	10257.0	7725.0	7284.0	10636.0	6683.0	5528.0	6454.0	6241.0	6880.0	6727.0	5584.0	7761.0	6636.0	6674.0	7192.0
E_focardii	4890.0	5194.0	6220.0	0.0	6115.0	5666.0	6244.0	6386.0	5068.0	4239.0	4908.0	4867.0	5302.0	5297.0	4173.0	6642.0	5060.0	4804.0	5195.0
E_parawoodruffi	6646.0	7402.0	10510.0	7101.0	0.0	7983.0	7026.0	10247.0	6374.0	5312.0	6175.0	6036.0	6711.0	6724.0	5347.0	7315.0	6291.0	6535.0	6980.0
E_sp	6793.0	7350.0	7612.0	6493.0	7915.0	0.0	6357.0	7984.0	6232.0	5377.0	6169.0	5996.0	6489.0	6585.0	5360.0	6706.0	6117.0	6265.0	6987.0
E_vannus	7112.0	7497.0	9189.0	9286.0	8922.0	8249.0	0.0	9324.0	7133.0	5918.0	6845.0	6679.0	7414.0	7274.0	5771.0	12159.0	7069.0	7106.0	7546.0
E_woodruffi	7343.0	8000.0	10998.0	7865.0	10544.0	8396.0	7751.0	0.0	7150.0	6018.0	6954.0	6752.0	7493.0	7558.0	6028.0	8176.0	7110.0	7176.0	7761.0
GCA_000751175.1	5265.0	6684.0	5473.0	4943.0	5231.0	5000.0	4960.0	5533.0	0.0	6812.0	10589.0	10325.0	11410.0	10482.0	6951.0	5273.0	11357.0	6146.0	6651.0
GCA_001272955.2	4078.0	5105.0	4333.0	3996.0	4116.0	4016.0	3918.0	4337.0	6512.0	0.0	6373.0	6144.0	6282.0	6269.0	5275.0	4201.0	6426.0	4621.0	4979.0
GCA_001272965.2	5295.0	6676.0	5477.0	4969.0	5246.0	5048.0	4947.0	5554.0	10856.0	7035.0	0.0	9940.0	10695.0	10073.0	7096.0	5223.0	10671.0	6054.0	6640.0
GCA_001272975.2	4972.0	6359.0	5209.0	4811.0	5047.0	4771.0	4728.0	5325.0	10591.0	6610.0	9773.0	0.0	10162.0	10078.0	6495.0	4996.0	10406.0	5683.0	6231.0
GCA_001273295.2	6051.0	7677.0	6196.0	5629.0	6097.0	5576.0	5660.0	6397.0	12430.0	7174.0	11408.0	10847.0	0.0	12166.0	7669.0	5837.0	13202.0	6958.0	7540.0
GCA_001273305.2	6066.0	7653.0	6243.0	5879.0	6412.0	5793.0	5770.0	6748.0	11904.0	7528.0	11132.0	11191.0	12752.0	0.0	7483.0	5806.0	12887.0	6795.0	7365.0
GCA_001653735.1	5686.0	7423.0	6011.0	5376.0	5774.0	5693.0	5325.0	6005.0	8677.0	7000.0	8459.0	7990.0	8813.0	8344.0	0.0	5732.0	8644.0	6711.0	7175.0
M_crassus	6270.0	6645.0	8004.0	8069.0	7686.0	7208.0	9642.0	8048.0	6491.0	5425.0	6259.0	6081.0	6561.0	6389.0	5374.0	0.0	6453.0	6284.0	6665.0
Oxytricha_trifallax	6125.0	7844.0	6364.0	5824.0	6090.0	5745.0	5830.0	6428.0	13567.0	7923.0	12295.0	11993.0	14388.0	13639.0	8119.0	6182.0	0.0	7187.0	7759.0
U_binucleata	8254.0	10410.0	8142.0	6916.0	8062.0	7442.0	7118.0	8257.0	9170.0	7248.0	8837.0	8353.0	9571.0	8741.0	7595.0	7693.0	8912.0	0.0	14247.0
U_setigera	8224.0	10361.0	7996.0	6663.0	7871.0	7421.0	6882.0	8170.0	9166.0	7250.0	8835.0	8451.0	9336.0	8787.0	7445.0	7384.0	8979.0	13286.0	0.0
