	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
C_quadrinucleata	0.0	1761.0	854.0	366.0	828.0	875.0	1098.0	1024.0	422.0	318.0	442.0	423.0	638.0	710.0	899.0	882.0	775.0	1115.0	1039.0
D_sp	647.0	0.0	659.0	264.0	683.0	727.0	834.0	763.0	416.0	275.0	414.0	399.0	591.0	727.0	904.0	642.0	744.0	1059.0	961.0
E_cf_woodruffi	716.0	1544.0	0.0	291.0	394.0	859.0	1523.0	716.0	421.0	299.0	444.0	422.0	609.0	736.0	898.0	1059.0	755.0	994.0	950.0
E_focardii	743.0	1556.0	1109.0	0.0	1019.0	916.0	1943.0	1265.0	484.0	345.0	509.0	463.0	689.0	846.0	979.0	1396.0	861.0	1098.0	987.0
E_parawoodruffi	754.0	1484.0	393.0	290.0	0.0	886.0	1510.0	758.0	401.0	278.0	404.0	381.0	603.0	761.0	866.0	1057.0	729.0	998.0	928.0
E_sp	743.0	1474.0	948.0	344.0	991.0	0.0	1402.0	1116.0	407.0	324.0	440.0	391.0	573.0	698.0	836.0	1077.0	698.0	988.0	908.0
E_vannus	510.0	1055.0	636.0	184.0	606.0	564.0	0.0	764.0	325.0	226.0	327.0	303.0	484.0	594.0	688.0	482.0	604.0	714.0	641.0
E_woodruffi	691.0	1435.0	450.0	284.0	431.0	862.0	1455.0	0.0	383.0	271.0	398.0	373.0	603.0	764.0	845.0	1014.0	702.0	948.0	913.0
GCA_000751175.1	952.0	2000.0	973.0	426.0	951.0	987.0	1179.0	1110.0	0.0	460.0	595.0	504.0	1102.0	1462.0	1592.0	986.0	1924.0	1475.0	1361.0
GCA_001272955.2	843.0	1692.0	870.0	383.0	873.0	936.0	1036.0	1040.0	627.0	0.0	722.0	646.0	892.0	1096.0	1403.0	865.0	1231.0	1218.0	1166.0
GCA_001272965.2	915.0	1942.0	936.0	396.0	916.0	955.0	1111.0	1079.0	485.0	435.0	0.0	546.0	1040.0	1343.0	1544.0	921.0	1711.0	1389.0	1297.0
GCA_001272975.2	890.0	1898.0	920.0	404.0	922.0	929.0	1086.0	1062.0	393.0	423.0	583.0	0.0	934.0	1346.0	1474.0	906.0	1659.0	1331.0	1236.0
GCA_001273295.2	940.0	1954.0	924.0	422.0	921.0	913.0	1109.0	1052.0	424.0	401.0	581.0	510.0	0.0	1468.0	1499.0	893.0	1938.0	1423.0	1322.0
GCA_001273305.2	865.0	1761.0	894.0	391.0	900.0	931.0	1071.0	1063.0	388.0	365.0	534.0	458.0	885.0	0.0	1391.0	866.0	1625.0	1251.0	1207.0
GCA_001653735.1	582.0	1293.0	591.0	266.0	584.0	630.0	756.0	713.0	454.0	302.0	505.0	436.0	702.0	806.0	0.0	621.0	931.0	921.0	830.0
M_crassus	642.0	1386.0	821.0	225.0	730.0	706.0	2055.0	952.0	373.0	272.0	395.0	369.0	549.0	630.0	822.0	0.0	702.0	914.0	847.0
Oxytricha_trifallax	798.0	1688.0	836.0	345.0	823.0	826.0	995.0	942.0	364.0	360.0	507.0	436.0	920.0	1276.0	1358.0	814.0	0.0	1190.0	1120.0
U_binucleata	714.0	1709.0	692.0	273.0	682.0	744.0	884.0	820.0	421.0	288.0	423.0	402.0	640.0	720.0	920.0	665.0	770.0	0.0	1340.0
U_setigera	841.0	1957.0	819.0	340.0	795.0	886.0	1002.0	970.0	473.0	341.0	474.0	446.0	751.0	844.0	1097.0	779.0	885.0	2210.0	0.0
