	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
C_quadrinucleata	5408	3784	3583	3269	3576	3338	3271	3627	3600	3021	3500	3469	3709	3694	2999	3397	3602	3425	3677
D_sp	3784	7321	4055	3614	3943	3789	3602	4152	4381	3590	4230	4192	4488	4405	3700	3784	4380	4109	4456
E_cf_woodruffi	3583	4055	6346	3957	5261	3961	3950	5423	3860	3283	3747	3718	3939	3932	3325	4115	3841	3654	3949
E_focardii	3269	3614	3957	4994	3902	3575	3903	4051	3642	3123	3547	3569	3747	3810	3113	4092	3659	3339	3573
E_parawoodruffi	3576	3943	5261	3902	6744	3964	3870	5250	3706	3167	3604	3621	3876	3980	3228	3965	3689	3608	3870
E_sp	3338	3789	3961	3575	3964	6457	3558	4092	3473	3014	3403	3410	3550	3610	3054	3693	3451	3322	3596
E_vannus	3271	3602	3950	3903	3870	3558	5691	4054	3580	3064	3477	3480	3684	3719	3076	4851	3584	3356	3574
E_woodruffi	3627	4152	5423	4051	5250	4092	4054	6755	3876	3286	3762	3782	4035	4145	3350	4172	3865	3670	3967
GCA_000751175.1	3600	4381	3860	3642	3706	3473	3580	3876	9074	4407	6828	6808	7654	7004	4628	3810	7583	4040	4369
GCA_001272955.2	3021	3590	3283	3123	3167	3014	3064	3286	4407	4957	4319	4260	4320	4351	3578	3251	4411	3300	3549
GCA_001272965.2	3500	4230	3747	3547	3604	3403	3477	3762	6828	4319	7907	6214	6842	6437	4467	3693	6826	3897	4208
GCA_001272975.2	3469	4192	3718	3569	3621	3410	3480	3782	6808	4260	6214	7782	6660	6538	4316	3654	6736	3837	4180
GCA_001273295.2	3709	4488	3939	3747	3876	3550	3684	4035	7654	4320	6842	6660	10200	7438	4737	3813	7952	4116	4476
GCA_001273305.2	3694	4405	3932	3810	3980	3610	3719	4145	7004	4351	6437	6538	7438	9509	4445	3771	7502	4003	4335
GCA_001653735.1	2999	3700	3325	3113	3228	3054	3076	3350	4628	3578	4467	4316	4737	4445	5974	3259	4641	3420	3640
M_crassus	3397	3784	4115	4092	3965	3693	4851	4172	3810	3251	3693	3654	3813	3771	3259	5484	3818	3503	3744
Oxytricha_trifallax	3602	4380	3841	3659	3689	3451	3584	3865	7583	4411	6826	6736	7952	7502	4641	3818	9647	4018	4347
U_binucleata	3425	4109	3654	3339	3608	3322	3356	3670	4040	3300	3897	3837	4116	4003	3420	3503	4018	6318	5117
U_setigera	3677	4456	3949	3573	3870	3596	3574	3967	4369	3549	4208	4180	4476	4335	3640	3744	4347	5117	6858
