	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
Number of genes	15982	25327	14298	9382	19635	21295	15078	15830	16786	8617	14448	13594	20551	19845	14395	11481	20136	19733	20152
Number of genes in orthogroups	13866	23395	13286	8789	14613	17936	14683	14598	15228	8422	14101	13133	18679	18215	13551	11411	19121	18608	18797
Number of unassigned genes	2116	1932	1012	593	5022	3359	395	1232	1558	195	347	461	1872	1630	844	70	1015	1125	1355
Percentage of genes in orthogroups	86.8	92.4	92.9	93.7	74.4	84.2	97.4	92.2	90.7	97.7	97.6	96.6	90.9	91.8	94.1	99.4	95.0	94.3	93.3
Percentage of unassigned genes	13.2	7.6	7.1	6.3	25.6	15.8	2.6	7.8	9.3	2.3	2.4	3.4	9.1	8.2	5.9	0.6	5.0	5.7	6.7
Number of orthogroups containing species	5408	7321	6346	4994	6744	6457	5691	6755	9074	4957	7907	7782	10200	9509	5974	5484	9647	6318	6858
Percentage of orthogroups containing species	23.2	31.4	27.2	21.4	29.0	27.7	24.4	29.0	39.0	21.3	33.9	33.4	43.8	40.8	25.6	23.5	41.4	27.1	29.4
Number of species-specific orthogroups	318	1009	40	30	269	1002	181	70	180	81	102	55	262	306	278	6	444	183	215
Number of genes in species-specific orthogroups	1151	3658	246	91	718	4656	611	163	611	303	367	180	891	935	764	12	1393	508	735
Percentage of genes in species-specific orthogroups	7.2	14.4	1.7	1.0	3.7	21.9	4.1	1.0	3.6	3.5	2.5	1.3	4.3	4.7	5.3	0.1	6.9	2.6	3.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	17886	15973	16948	18300	16550	16837	17603	16539	14220	18337	15387	15512	13094	13785	17320	17810	13647	16976	16436
'1	2832	2644	3990	3547	4085	3036	2855	4053	6624	3508	5624	5668	6872	5908	2944	3368	5729	3351	3828
'2	1184	2047	1168	820	1399	1521	1448	1319	1375	780	1228	1197	1872	2050	1561	1106	2115	1321	1333
'3	533	955	448	261	503	685	532	537	416	286	406	352	584	650	646	400	806	563	589
'4	253	495	245	102	242	376	257	294	233	131	214	184	282	319	294	198	374	304	314
'5	189	311	149	75	146	219	169	159	119	85	112	105	167	162	160	106	195	180	190
'6	100	187	82	42	86	137	100	92	90	55	85	70	120	113	93	65	115	124	130
'7	66	160	50	35	49	96	58	63	53	27	45	52	65	71	77	54	77	75	80
'8	51	102	39	18	34	64	35	48	40	19	35	32	43	56	51	26	50	67	66
'9	39	88	35	18	29	64	43	37	24	20	23	29	38	40	36	33	34	45	49
'10	24	54	27	10	29	47	20	23	17	11	29	16	34	27	22	21	34	40	32
11-15	70	141	60	41	78	112	90	69	55	23	70	46	77	68	52	65	72	93	104
16-20	22	56	24	13	31	43	35	30	10	6	17	16	15	29	18	23	25	47	56
21-50	37	70	26	11	28	51	43	28	15	5	16	15	29	13	19	17	19	84	67
51-100	6	9	2	1	4	5	5	3	3	1	3	0	2	3	1	2	2	21	18
101-150	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	1
151-200	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	76.8	68.6	72.8	78.6	71.0	72.3	75.6	71.0	61.0	78.7	66.1	66.6	56.2	59.2	74.4	76.5	58.6	72.9	70.6
'1	12.2	11.4	17.1	15.2	17.5	13.0	12.3	17.4	28.4	15.1	24.1	24.3	29.5	25.4	12.6	14.5	24.6	14.4	16.4
'2	5.1	8.8	5.0	3.5	6.0	6.5	6.2	5.7	5.9	3.3	5.3	5.1	8.0	8.8	6.7	4.7	9.1	5.7	5.7
'3	2.3	4.1	1.9	1.1	2.2	2.9	2.3	2.3	1.8	1.2	1.7	1.5	2.5	2.8	2.8	1.7	3.5	2.4	2.5
'4	1.1	2.1	1.1	0.4	1.0	1.6	1.1	1.3	1.0	0.6	0.9	0.8	1.2	1.4	1.3	0.9	1.6	1.3	1.3
'5	0.8	1.3	0.6	0.3	0.6	0.9	0.7	0.7	0.5	0.4	0.5	0.5	0.7	0.7	0.7	0.5	0.8	0.8	0.8
'6	0.4	0.8	0.4	0.2	0.4	0.6	0.4	0.4	0.4	0.2	0.4	0.3	0.5	0.5	0.4	0.3	0.5	0.5	0.6
'7	0.3	0.7	0.2	0.2	0.2	0.4	0.2	0.3	0.2	0.1	0.2	0.2	0.3	0.3	0.3	0.2	0.3	0.3	0.3
'8	0.2	0.4	0.2	0.1	0.1	0.3	0.2	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.3	0.3
'9	0.2	0.4	0.2	0.1	0.1	0.3	0.2	0.2	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.1	0.2	0.2
'10	0.1	0.2	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1
11-15	0.3	0.6	0.3	0.2	0.3	0.5	0.4	0.3	0.2	0.1	0.3	0.2	0.3	0.3	0.2	0.3	0.3	0.4	0.4
16-20	0.1	0.2	0.1	0.1	0.1	0.2	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2
21-50	0.2	0.3	0.1	0.0	0.1	0.2	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.4	0.3
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	2832	2644	3990	3547	4085	3036	2855	4053	6624	3508	5624	5668	6872	5908	2944	3368	5729	3351	3828
'2	2368	4094	2336	1640	2798	3042	2896	2638	2750	1560	2456	2394	3744	4100	3122	2212	4230	2642	2666
'3	1599	2865	1344	783	1509	2055	1596	1611	1248	858	1218	1056	1752	1950	1938	1200	2418	1689	1767
'4	1012	1980	980	408	968	1504	1028	1176	932	524	856	736	1128	1276	1176	792	1496	1216	1256
'5	945	1555	745	375	730	1095	845	795	595	425	560	525	835	810	800	530	975	900	950
'6	600	1122	492	252	516	822	600	552	540	330	510	420	720	678	558	390	690	744	780
'7	462	1120	350	245	343	672	406	441	371	189	315	364	455	497	539	378	539	525	560
'8	408	816	312	144	272	512	280	384	320	152	280	256	344	448	408	208	400	536	528
'9	351	792	315	162	261	576	387	333	216	180	207	261	342	360	324	297	306	405	441
'10	240	540	270	100	290	470	200	230	170	110	290	160	340	270	220	210	340	400	320
11-15	889	1748	765	526	986	1423	1161	872	678	293	891	560	966	873	660	813	905	1190	1302
16-20	383	991	431	227	562	768	620	529	177	111	307	277	268	524	310	411	433	837	1002
21-50	1105	2147	698	314	887	1551	1290	778	435	129	407	456	809	331	482	478	530	2448	1955
51-100	424	698	129	66	267	306	374	206	172	53	180	0	104	190	70	124	130	1353	1120
101-150	248	106	129	0	139	104	145	0	0	0	0	0	0	0	0	0	0	372	104
151-200	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	17.7	10.4	27.9	37.8	20.8	14.3	18.9	25.6	39.5	40.7	38.9	41.7	33.4	29.8	20.5	29.3	28.5	17.0	19.0
'2	14.8	16.2	16.3	17.5	14.3	14.3	19.2	16.7	16.4	18.1	17.0	17.6	18.2	20.7	21.7	19.3	21.0	13.4	13.2
'3	10.0	11.3	9.4	8.3	7.7	9.7	10.6	10.2	7.4	10.0	8.4	7.8	8.5	9.8	13.5	10.5	12.0	8.6	8.8
'4	6.3	7.8	6.9	4.3	4.9	7.1	6.8	7.4	5.6	6.1	5.9	5.4	5.5	6.4	8.2	6.9	7.4	6.2	6.2
'5	5.9	6.1	5.2	4.0	3.7	5.1	5.6	5.0	3.5	4.9	3.9	3.9	4.1	4.1	5.6	4.6	4.8	4.6	4.7
'6	3.8	4.4	3.4	2.7	2.6	3.9	4.0	3.5	3.2	3.8	3.5	3.1	3.5	3.4	3.9	3.4	3.4	3.8	3.9
'7	2.9	4.4	2.4	2.6	1.7	3.2	2.7	2.8	2.2	2.2	2.2	2.7	2.2	2.5	3.7	3.3	2.7	2.7	2.8
'8	2.6	3.2	2.2	1.5	1.4	2.4	1.9	2.4	1.9	1.8	1.9	1.9	1.7	2.3	2.8	1.8	2.0	2.7	2.6
'9	2.2	3.1	2.2	1.7	1.3	2.7	2.6	2.1	1.3	2.1	1.4	1.9	1.7	1.8	2.3	2.6	1.5	2.1	2.2
'10	1.5	2.1	1.9	1.1	1.5	2.2	1.3	1.5	1.0	1.3	2.0	1.2	1.7	1.4	1.5	1.8	1.7	2.0	1.6
11-15	5.6	6.9	5.4	5.6	5.0	6.7	7.7	5.5	4.0	3.4	6.2	4.1	4.7	4.4	4.6	7.1	4.5	6.0	6.5
16-20	2.4	3.9	3.0	2.4	2.9	3.6	4.1	3.3	1.1	1.3	2.1	2.0	1.3	2.6	2.2	3.6	2.2	4.2	5.0
21-50	6.9	8.5	4.9	3.3	4.5	7.3	8.6	4.9	2.6	1.5	2.8	3.4	3.9	1.7	3.3	4.2	2.6	12.4	9.7
51-100	2.7	2.8	0.9	0.7	1.4	1.4	2.5	1.3	1.0	0.6	1.2	0.0	0.5	1.0	0.5	1.1	0.6	6.9	5.6
101-150	1.6	0.4	0.9	0.0	0.7	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.5
151-200	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
