	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
C_quadrinucleata	0.0	2120.0	2507.0	2451.0	2538.0	2402.0	1743.0	2478.0	2295.0	1811.0	2139.0	2112.0	2280.0	2101.0	1563.0	2169.0	1914.0	2153.0	2510.0
D_sp	2120.0	0.0	2089.0	1917.0	2030.0	2076.0	1365.0	2176.0	2185.0	1723.0	2068.0	2033.0	2209.0	1968.0	1610.0	1705.0	1853.0	2184.0	2601.0
E_cf_woodruffi	2507.0	2089.0	0.0	4005.0	8941.0	3722.0	2848.0	8844.0	2392.0	2004.0	2268.0	2243.0	2381.0	2200.0	1625.0	3646.0	2076.0	2039.0	2442.0
E_focardii	2451.0	1917.0	4005.0	0.0	3970.0	3457.0	3397.0	3961.0	2654.0	2264.0	2540.0	2552.0	2615.0	2477.0	1644.0	4356.0	2314.0	2059.0	2413.0
E_parawoodruffi	2538.0	2030.0	8941.0	3970.0	0.0	3633.0	2744.0	8278.0	2240.0	1869.0	2152.0	2151.0	2295.0	2186.0	1549.0	3468.0	1911.0	2025.0	2396.0
E_sp	2402.0	2076.0	3722.0	3457.0	3633.0	0.0	2457.0	3783.0	2026.0	1672.0	1938.0	1944.0	2038.0	1880.0	1453.0	3109.0	1741.0	1841.0	2265.0
E_vannus	1743.0	1365.0	2848.0	3397.0	2744.0	2457.0	0.0	2847.0	1855.0	1548.0	1778.0	1772.0	1864.0	1743.0	1158.0	6299.0	1590.0	1431.0	1708.0
E_woodruffi	2478.0	2176.0	8844.0	3961.0	8278.0	3783.0	2847.0	0.0	2310.0	1880.0	2203.0	2207.0	2366.0	2247.0	1543.0	3581.0	1997.0	1972.0	2375.0
GCA_000751175.1	2295.0	2185.0	2392.0	2654.0	2240.0	2026.0	1855.0	2310.0	0.0	4207.0	8200.0	8412.0	8856.0	7581.0	3345.0	2328.0	8001.0	2362.0	2896.0
GCA_001272955.2	1811.0	1723.0	2004.0	2264.0	1869.0	1672.0	1548.0	1880.0	4207.0	0.0	3999.0	3957.0	3886.0	3664.0	2439.0	1934.0	3647.0	1850.0	2218.0
GCA_001272965.2	2139.0	2068.0	2268.0	2540.0	2152.0	1938.0	1778.0	2203.0	8200.0	3999.0	0.0	7238.0	7577.0	6694.0	3128.0	2211.0	6944.0	2246.0	2714.0
GCA_001272975.2	2112.0	2033.0	2243.0	2552.0	2151.0	1944.0	1772.0	2207.0	8412.0	3957.0	7238.0	0.0	7421.0	6893.0	2996.0	2173.0	6930.0	2176.0	2693.0
GCA_001273295.2	2280.0	2209.0	2381.0	2615.0	2295.0	2038.0	1864.0	2366.0	8856.0	3886.0	7577.0	7421.0	0.0	7571.0	3288.0	2254.0	7863.0	2329.0	2811.0
GCA_001273305.2	2101.0	1968.0	2200.0	2477.0	2186.0	1880.0	1743.0	2247.0	7581.0	3664.0	6694.0	6893.0	7571.0	0.0	2775.0	2053.0	7135.0	2077.0	2498.0
GCA_001653735.1	1563.0	1610.0	1625.0	1644.0	1549.0	1453.0	1158.0	1543.0	3345.0	2439.0	3128.0	2996.0	3288.0	2775.0	0.0	1437.0	2870.0	1656.0	1957.0
M_crassus	2169.0	1705.0	3646.0	4356.0	3468.0	3109.0	6299.0	3581.0	2328.0	1934.0	2211.0	2173.0	2254.0	2053.0	1437.0	0.0	2044.0	1863.0	2156.0
Oxytricha_trifallax	1914.0	1853.0	2076.0	2314.0	1911.0	1741.0	1590.0	1997.0	8001.0	3647.0	6944.0	6930.0	7863.0	7135.0	2870.0	2044.0	0.0	1992.0	2476.0
U_binucleata	2153.0	2184.0	2039.0	2059.0	2025.0	1841.0	1431.0	1972.0	2362.0	1850.0	2246.0	2176.0	2329.0	2077.0	1656.0	1863.0	1992.0	0.0	6525.0
U_setigera	2510.0	2601.0	2442.0	2413.0	2396.0	2265.0	1708.0	2375.0	2896.0	2218.0	2714.0	2693.0	2811.0	2498.0	1957.0	2156.0	2476.0	6525.0	0.0
