	C_quadrinucleata	D_sp	E_cf_woodruffi	E_focardii	E_parawoodruffi	E_sp	E_vannus	E_woodruffi	GCA_000751175.1	GCA_001272955.2	GCA_001272965.2	GCA_001272975.2	GCA_001273295.2	GCA_001273305.2	GCA_001653735.1	M_crassus	Oxytricha_trifallax	U_binucleata	U_setigera
C_quadrinucleata	0.0	1730.0	1920.0	1985.0	2211.0	2013.0	1316.0	1907.0	2754.0	2432.0	2645.0	2496.0	2739.0	2530.0	1711.0	1652.0	2364.0	2039.0	2364.0
D_sp	4990.0	0.0	4253.0	4511.0	4321.0	4179.0	2972.0	3956.0	6178.0	5266.0	5933.0	5854.0	5921.0	5425.0	3831.0	3960.0	5186.0	5004.0	5665.0
E_cf_woodruffi	2259.0	1738.0	0.0	2588.0	845.0	2241.0	1489.0	971.0	2596.0	2366.0	2496.0	2416.0	2455.0	2384.0	1636.0	1893.0	2240.0	1768.0	2121.0
E_focardii	950.0	685.0	725.0	0.0	753.0	850.0	433.0	726.0	1080.0	1038.0	1044.0	1066.0	1084.0	1005.0	714.0	548.0	916.0	709.0	892.0
E_parawoodruffi	2206.0	1998.0	1082.0	2393.0	0.0	2576.0	1413.0	1086.0	2532.0	2371.0	2424.0	2385.0	2412.0	2370.0	1595.0	1681.0	2158.0	1741.0	2040.0
E_sp	2521.0	1975.0	2205.0	2288.0	2569.0	0.0	1407.0	2251.0	2671.0	2601.0	2668.0	2540.0	2572.0	2639.0	1716.0	1695.0	2244.0	1948.0	2399.0
E_vannus	3119.0	2307.0	4014.0	5090.0	3962.0	3843.0	0.0	3842.0	3391.0	3048.0	3224.0	3177.0	3216.0	3105.0	2124.0	5049.0	2822.0	2447.0	2839.0
E_woodruffi	2757.0	2047.0	1589.0	3065.0	1698.0	2730.0	1841.0	0.0	3043.0	2898.0	2963.0	2854.0	2886.0	2908.0	2019.0	2294.0	2600.0	2171.0	2572.0
GCA_000751175.1	1099.0	1052.0	1044.0	1173.0	962.0	1083.0	787.0	941.0	0.0	1590.0	1230.0	943.0	999.0	959.0	1125.0	889.0	928.0	1193.0	1257.0
GCA_001272955.2	809.0	682.0	731.0	868.0	694.0	811.0	553.0	678.0	1137.0	0.0	1024.0	1047.0	970.0	890.0	779.0	645.0	916.0	760.0	880.0
GCA_001272965.2	1218.0	1095.0	1184.0	1303.0	1076.0	1183.0	874.0	1068.0	1523.0	1889.0	0.0	1577.0	1478.0	1346.0	1356.0	1004.0	1260.0	1171.0	1287.0
GCA_001272975.2	1092.0	976.0	1053.0	1166.0	961.0	993.0	763.0	935.0	1295.0	1665.0	1410.0	0.0	1304.0	1133.0	1147.0	888.0	1110.0	1051.0	1166.0
GCA_001273295.2	1683.0	1570.0	1539.0	1791.0	1519.0	1506.0	1260.0	1504.0	2643.0	2266.0	2527.0	2378.0	0.0	2145.0	1747.0	1373.0	2321.0	1687.0	1966.0
GCA_001273305.2	1873.0	1844.0	1818.0	2077.0	1932.0	1741.0	1441.0	1936.0	3386.0	2793.0	3122.0	3138.0	3416.0	0.0	1990.0	1512.0	2913.0	1957.0	2157.0
GCA_001653735.1	2425.0	2384.0	2372.0	2594.0	2266.0	2257.0	1808.0	2178.0	3979.0	3556.0	3851.0	3656.0	3718.0	3482.0	0.0	2151.0	3394.0	2404.0	2783.0
M_crassus	2261.0	1587.0	2434.0	3107.0	2428.0	2517.0	1007.0	2304.0	2541.0	2314.0	2419.0	2383.0	2328.0	2261.0	1613.0	0.0	2089.0	1666.0	1984.0
Oxytricha_trifallax	2062.0	1965.0	1966.0	2236.0	1906.0	1876.0	1556.0	1818.0	4615.0	3188.0	4095.0	3972.0	4620.0	3943.0	2403.0	1804.0	0.0	2151.0	2329.0
U_binucleata	3584.0	3305.0	3164.0	3541.0	3146.0	3262.0	2312.0	3028.0	4791.0	4034.0	4551.0	4320.0	4621.0	4039.0	3070.0	2956.0	3808.0	0.0	5317.0
U_setigera	3180.0	2949.0	2858.0	2970.0	2824.0	2772.0	1957.0	2681.0	4299.0	3703.0	4052.0	3839.0	4040.0	3643.0	2670.0	2537.0	3564.0	3394.0	0.0
